,明细_数值,图片,文件,审批状态,数据日期,所属部门,oid,明细_检测次数,取数日期,TemplateCodeId,明细_工序位置,填报人,明细_备注,明细_所属项目,完成时间,班次,标题,明细_化验指标,申请日期,TemplateId,明细_计量单位
150,0.0,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,含铁,2024-04-02,58417862c1d0470b813ae84d199c90f9,二期电解,谭进,,二期电尾液杂铁,,夜班,化验室填报表单,电尾液杂质,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
151,0.0,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,含铁,2024-04-02,58417862c1d0470b813ae84d199c90f9,五期电解,谭进,,五期电尾液杂铁,,夜班,化验室填报表单,电尾液杂质,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
152,0.0,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,含铁,2024-04-02,58417862c1d0470b813ae84d199c90f9,四期电解,谭进,,四期电尾液杂铁,,夜班,化验室填报表单,电尾液杂质,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
153,0.0,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,含锰,2024-04-02,58417862c1d0470b813ae84d199c90f9,一期电解,谭进,,一期电尾液杂锰,,夜班,化验室填报表单,电尾液杂质,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
154,0.0,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,含锰,2024-04-02,58417862c1d0470b813ae84d199c90f9,三期电解,谭进,,三期电尾液杂锰,,夜班,化验室填报表单,电尾液杂质,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
155,0.0,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,含锰,2024-04-02,58417862c1d0470b813ae84d199c90f9,二期电解,谭进,,二期电尾液杂锰,,夜班,化验室填报表单,电尾液杂质,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
156,0.0,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,含锰,2024-04-02,58417862c1d0470b813ae84d199c90f9,五期电解,谭进,,五期电尾液杂锰,,夜班,化验室填报表单,电尾液杂质,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
157,0.0,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,含锰,2024-04-02,58417862c1d0470b813ae84d199c90f9,四期电解,谭进,,四期电尾液杂锰,,夜班,化验室填报表单,电尾液杂质,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
158,55.97,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第一次,2024-04-02,58417862c1d0470b813ae84d199c90f9,一期萃取,谭进,,一期萃取-反萃富液含铜,,夜班,化验室填报表单,反萃富液含铜,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
159,51.76,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第一次,2024-04-02,58417862c1d0470b813ae84d199c90f9,七期萃取,谭进,,七期萃取-反萃富液含铜,,夜班,化验室填报表单,反萃富液含铜,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
160,59.3,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第一次,2024-04-02,58417862c1d0470b813ae84d199c90f9,三期萃取,谭进,,三期萃取-反萃富液含铜,,夜班,化验室填报表单,反萃富液含铜,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
161,57.14,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第一次,2024-04-02,58417862c1d0470b813ae84d199c90f9,二期萃取,谭进,,二期萃取-反萃富液含铜,,夜班,化验室填报表单,反萃富液含铜,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
162,61.59,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第一次,2024-04-02,58417862c1d0470b813ae84d199c90f9,五期萃取,谭进,,五期萃取-反萃富液含铜,,夜班,化验室填报表单,反萃富液含铜,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
163,59.37,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第一次,2024-04-02,58417862c1d0470b813ae84d199c90f9,六期萃取,谭进,,六期萃取-反萃富液含铜,,夜班,化验室填报表单,反萃富液含铜,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
164,61.24,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第一次,2024-04-02,58417862c1d0470b813ae84d199c90f9,四期萃取,谭进,,四期萃取-反萃富液含铜,,夜班,化验室填报表单,反萃富液含铜,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
165,7.65,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第一次,2024-04-02,58417862c1d0470b813ae84d199c90f9,一期萃取,谭进,,回厂料液含铜,,夜班,化验室填报表单,含铜浓度,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
166,6.41,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第一次,2024-04-02,58417862c1d0470b813ae84d199c90f9,七期萃取,谭进,,7期回厂料液含铜,,夜班,化验室填报表单,含铜浓度,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
167,7.65,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第一次,2024-04-02,58417862c1d0470b813ae84d199c90f9,三期萃取,谭进,,回厂料液含铜,,夜班,化验室填报表单,含铜浓度,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
168,7.65,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第一次,2024-04-02,58417862c1d0470b813ae84d199c90f9,二期萃取,谭进,,回厂料液含铜,,夜班,化验室填报表单,含铜浓度,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
169,7.01,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第一次,2024-04-02,58417862c1d0470b813ae84d199c90f9,五期萃取,谭进,,回厂料液含铜,,夜班,化验室填报表单,含铜浓度,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
170,7.65,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第一次,2024-04-02,58417862c1d0470b813ae84d199c90f9,六期萃取,谭进,,回厂料液含铜,,夜班,化验室填报表单,含铜浓度,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
171,7.65,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第一次,2024-04-02,58417862c1d0470b813ae84d199c90f9,四期萃取,谭进,,回厂料液含铜,,夜班,化验室填报表单,含铜浓度,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
172,2.03,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第一次,2024-04-02,58417862c1d0470b813ae84d199c90f9,尾矿车间,谭进,,尾矿回水料液含铜,,夜班,化验室填报表单,尾矿回水含铜浓度,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
173,4.42,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第一次,2024-04-02,58417862c1d0470b813ae84d199c90f9,10＃浓密机,谭进,,"溢流含铜浓度(4,5,10)",,夜班,化验室填报表单,溢流含铜浓度,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
174,0.0,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第一次,2024-04-02,58417862c1d0470b813ae84d199c90f9,11＃浓密机,谭进,,溢流含铜浓度(11),,夜班,化验室填报表单,溢流含铜浓度,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
175,0.0,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第一次,2024-04-02,58417862c1d0470b813ae84d199c90f9,12＃浓密机,谭进,,溢流含铜浓度(12),,夜班,化验室填报表单,溢流含铜浓度,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
176,7.96,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第一次,2024-04-02,58417862c1d0470b813ae84d199c90f9,13＃浓密机,谭进,,"溢流含铜浓度(1，2，3，6，8,13)",,夜班,化验室填报表单,溢流含铜浓度,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
177,8.18,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第一次,2024-04-02,58417862c1d0470b813ae84d199c90f9,14＃浓密机,谭进,,溢流含铜浓度(14),,夜班,化验室填报表单,溢流含铜浓度,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
178,0.0,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第一次,2024-04-02,58417862c1d0470b813ae84d199c90f9,15＃浓密机,谭进,,溢流含铜浓度(15),,夜班,化验室填报表单,溢流含铜浓度,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
179,0.0,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第一次,2024-04-02,58417862c1d0470b813ae84d199c90f9,16＃浓密机,谭进,,溢流含铜浓度(16),,夜班,化验室填报表单,溢流含铜浓度,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
180,0.0,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第一次,2024-04-02,58417862c1d0470b813ae84d199c90f9,17＃浓密机,谭进,,溢流含铜浓度(17),,夜班,化验室填报表单,溢流含铜浓度,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
181,0.0,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第一次,2024-04-02,58417862c1d0470b813ae84d199c90f9,18＃浓密机,谭进,,溢流含铜浓度(18),,夜班,化验室填报表单,溢流含铜浓度,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
182,0.0,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第一次,2024-04-02,58417862c1d0470b813ae84d199c90f9,1＃浓密机,谭进,,"溢流含铜浓度(1，2，3，6，8,13)",,夜班,化验室填报表单,溢流含铜浓度,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
183,0.0,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第一次,2024-04-02,58417862c1d0470b813ae84d199c90f9,2＃浓密机,谭进,,"溢流含铜浓度(1，2，3，6，8,13)",,夜班,化验室填报表单,溢流含铜浓度,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
184,0.0,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第一次,2024-04-02,58417862c1d0470b813ae84d199c90f9,3＃浓密机,谭进,,"溢流含铜浓度(1，2，3，6，8,13)",,夜班,化验室填报表单,溢流含铜浓度,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
185,3.98,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第一次,2024-04-02,58417862c1d0470b813ae84d199c90f9,4＃浓密机,谭进,,"溢流含铜浓度(4,5,10)",,夜班,化验室填报表单,溢流含铜浓度,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
186,4.24,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第一次,2024-04-02,58417862c1d0470b813ae84d199c90f9,5＃浓密机,谭进,,"溢流含铜浓度(4,5,10)",,夜班,化验室填报表单,溢流含铜浓度,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
187,0.0,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第一次,2024-04-02,58417862c1d0470b813ae84d199c90f9,6＃浓密机,谭进,,"溢流含铜浓度(1，2，3，6，8,13)",,夜班,化验室填报表单,溢流含铜浓度,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
188,0.0,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第一次,2024-04-02,58417862c1d0470b813ae84d199c90f9,7＃浓密机,谭进,,"溢流含铜浓度(7,9)",,夜班,化验室填报表单,溢流含铜浓度,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
189,0.0,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第一次,2024-04-02,58417862c1d0470b813ae84d199c90f9,8＃浓密机,谭进,,"溢流含铜浓度(1，2，3，6，8,13)",,夜班,化验室填报表单,溢流含铜浓度,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
190,5.79,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第一次,2024-04-02,58417862c1d0470b813ae84d199c90f9,9＃浓密机,谭进,,"溢流含铜浓度(7,9)",,夜班,化验室填报表单,溢流含铜浓度,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
191,54.33,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第一次,2024-04-02,58417862c1d0470b813ae84d199c90f9,一期电解,谭进,,一期电解-电富液含铜,,夜班,化验室填报表单,电富液含铜,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
192,54.33,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第一次,2024-04-02,58417862c1d0470b813ae84d199c90f9,三期电解,谭进,,三期电解-电富液含铜,,夜班,化验室填报表单,电富液含铜,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
193,55.27,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第一次,2024-04-02,58417862c1d0470b813ae84d199c90f9,二期电解,谭进,,二期电解-电富液含铜,,夜班,化验室填报表单,电富液含铜,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
194,46.6,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第一次,2024-04-02,58417862c1d0470b813ae84d199c90f9,五期电解,谭进,,五期电解-电富液含铜,,夜班,化验室填报表单,电富液含铜,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
195,46.6,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第一次,2024-04-02,58417862c1d0470b813ae84d199c90f9,四期电解,谭进,,四期电解-电富液含铜,,夜班,化验室填报表单,电富液含铜,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
196,189.73,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第一次,2024-04-02,58417862c1d0470b813ae84d199c90f9,一期电解,谭进,,一期电解尾液含酸浓度,,夜班,化验室填报表单,电尾液含酸,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
197,191.73,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第一次,2024-04-02,58417862c1d0470b813ae84d199c90f9,三期电解,谭进,,三期电解尾液含酸浓度,,夜班,化验室填报表单,电尾液含酸,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
198,192.46,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第一次,2024-04-02,58417862c1d0470b813ae84d199c90f9,二期电解,谭进,,二期电解尾液含酸浓度,,夜班,化验室填报表单,电尾液含酸,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
199,179.75,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第一次,2024-04-02,58417862c1d0470b813ae84d199c90f9,五期电解,谭进,,五期电解尾液含酸浓度,,夜班,化验室填报表单,电尾液含酸,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
200,176.96,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第一次,2024-04-02,58417862c1d0470b813ae84d199c90f9,四期电解,谭进,,四期电解尾液含酸浓度,,夜班,化验室填报表单,电尾液含酸,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
201,51.05,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第一次,2024-04-02,58417862c1d0470b813ae84d199c90f9,一期电解,谭进,,一期电解尾液含CU浓度,,夜班,化验室填报表单,电尾液含铜,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
202,51.99,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第一次,2024-04-02,58417862c1d0470b813ae84d199c90f9,三期电解,谭进,,三期电解尾液含CU浓度,,夜班,化验室填报表单,电尾液含铜,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
203,49.18,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第一次,2024-04-02,58417862c1d0470b813ae84d199c90f9,二期电解,谭进,,二期电解尾液含CU浓度,,夜班,化验室填报表单,电尾液含铜,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
204,44.68,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第一次,2024-04-02,58417862c1d0470b813ae84d199c90f9,五期电解,谭进,,五期电解尾液含CU浓度,,夜班,化验室填报表单,电尾液含铜,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
205,44.03,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第一次,2024-04-02,58417862c1d0470b813ae84d199c90f9,四期电解,谭进,,四期电解尾液含CU浓度,,夜班,化验室填报表单,电尾液含铜,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
206,16.81,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第一次,2024-04-02,58417862c1d0470b813ae84d199c90f9,10＃浓密机,谭进,,矿浆滤液含酸,,夜班,化验室填报表单,矿浆滤液含酸,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
207,16.31,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第一次,2024-04-02,58417862c1d0470b813ae84d199c90f9,4＃浓密机,谭进,,矿浆滤液含酸,,夜班,化验室填报表单,矿浆滤液含酸,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
208,0.0,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第一次,2024-04-02,58417862c1d0470b813ae84d199c90f9,5＃浓密机,谭进,,矿浆滤液含酸,,夜班,化验室填报表单,矿浆滤液含酸,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
209,0.0,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第一次,2024-04-02,58417862c1d0470b813ae84d199c90f9,7＃浓密机,谭进,,矿浆滤液含酸,,夜班,化验室填报表单,矿浆滤液含酸,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
210,2.03,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第一次,2024-04-02,58417862c1d0470b813ae84d199c90f9,10＃浓密机,谭进,,进入尾矿坝料液含铜,,夜班,化验室填报表单,矿浆滤液含铜,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
211,1.13,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第一次,2024-04-02,58417862c1d0470b813ae84d199c90f9,4＃浓密机,谭进,,进入尾矿坝料液含铜,,夜班,化验室填报表单,矿浆滤液含铜,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
212,0.0,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第一次,2024-04-02,58417862c1d0470b813ae84d199c90f9,5＃浓密机,谭进,,进入尾矿坝料液含铜,,夜班,化验室填报表单,矿浆滤液含铜,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
213,0.0,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第一次,2024-04-02,58417862c1d0470b813ae84d199c90f9,7＃浓密机,谭进,,进入尾矿坝料液含铜,,夜班,化验室填报表单,矿浆滤液含铜,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
214,0.38,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第一次,2024-04-02,58417862c1d0470b813ae84d199c90f9,一期萃取,谭进,,一期萃余液,,夜班,化验室填报表单,萃余液含铜,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
215,0.38,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第一次,2024-04-02,58417862c1d0470b813ae84d199c90f9,七期萃取,谭进,,七期萃余液,,夜班,化验室填报表单,萃余液含铜,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
216,0.54,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第一次,2024-04-02,58417862c1d0470b813ae84d199c90f9,三期萃取,谭进,,三期萃余液,,夜班,化验室填报表单,萃余液含铜,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
217,0.52,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第一次,2024-04-02,58417862c1d0470b813ae84d199c90f9,二期萃取,谭进,,二期萃余液,,夜班,化验室填报表单,萃余液含铜,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
218,0.73,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第一次,2024-04-02,58417862c1d0470b813ae84d199c90f9,五期萃取,谭进,,五期萃余液,,夜班,化验室填报表单,萃余液含铜,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
219,0.53,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第一次,2024-04-02,58417862c1d0470b813ae84d199c90f9,六期萃取,谭进,,六期萃余液,,夜班,化验室填报表单,萃余液含铜,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
220,0.62,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第一次,2024-04-02,58417862c1d0470b813ae84d199c90f9,四期萃取,谭进,,四期萃余液,,夜班,化验室填报表单,萃余液含铜,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
221,60.19,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第三次,2024-04-02,58417862c1d0470b813ae84d199c90f9,一期萃取,谭进,,一期萃取-反萃富液含铜,,夜班,化验室填报表单,反萃富液含铜,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
222,53.86,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第三次,2024-04-02,58417862c1d0470b813ae84d199c90f9,七期萃取,谭进,,七期萃取-反萃富液含铜,,夜班,化验室填报表单,反萃富液含铜,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
223,62.76,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第三次,2024-04-02,58417862c1d0470b813ae84d199c90f9,三期萃取,谭进,,三期萃取-反萃富液含铜,,夜班,化验室填报表单,反萃富液含铜,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
224,61.59,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第三次,2024-04-02,58417862c1d0470b813ae84d199c90f9,二期萃取,谭进,,二期萃取-反萃富液含铜,,夜班,化验室填报表单,反萃富液含铜,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
225,63.23,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第三次,2024-04-02,58417862c1d0470b813ae84d199c90f9,五期萃取,谭进,,五期萃取-反萃富液含铜,,夜班,化验室填报表单,反萃富液含铜,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
226,59.37,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第三次,2024-04-02,58417862c1d0470b813ae84d199c90f9,六期萃取,谭进,,六期萃取-反萃富液含铜,,夜班,化验室填报表单,反萃富液含铜,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
227,60.89,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第三次,2024-04-02,58417862c1d0470b813ae84d199c90f9,四期萃取,谭进,,四期萃取-反萃富液含铜,,夜班,化验室填报表单,反萃富液含铜,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
228,7.65,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第三次,2024-04-02,58417862c1d0470b813ae84d199c90f9,一期萃取,谭进,,回厂料液含铜,,夜班,化验室填报表单,含铜浓度,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
229,6.45,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第三次,2024-04-02,58417862c1d0470b813ae84d199c90f9,七期萃取,谭进,,7期回厂料液含铜,,夜班,化验室填报表单,含铜浓度,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
230,7.65,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第三次,2024-04-02,58417862c1d0470b813ae84d199c90f9,三期萃取,谭进,,回厂料液含铜,,夜班,化验室填报表单,含铜浓度,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
231,7.65,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第三次,2024-04-02,58417862c1d0470b813ae84d199c90f9,二期萃取,谭进,,回厂料液含铜,,夜班,化验室填报表单,含铜浓度,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
232,7.12,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第三次,2024-04-02,58417862c1d0470b813ae84d199c90f9,五期萃取,谭进,,回厂料液含铜,,夜班,化验室填报表单,含铜浓度,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
233,7.65,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第三次,2024-04-02,58417862c1d0470b813ae84d199c90f9,六期萃取,谭进,,回厂料液含铜,,夜班,化验室填报表单,含铜浓度,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
234,7.65,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第三次,2024-04-02,58417862c1d0470b813ae84d199c90f9,四期萃取,谭进,,回厂料液含铜,,夜班,化验室填报表单,含铜浓度,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
235,0.0,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第三次,2024-04-02,58417862c1d0470b813ae84d199c90f9,尾矿车间,谭进,,尾矿回水料液含铜,,夜班,化验室填报表单,尾矿回水含铜浓度,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
236,0.0,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第三次,2024-04-02,58417862c1d0470b813ae84d199c90f9,10＃浓密机,谭进,,"溢流含铜浓度(4,5,10)",,夜班,化验室填报表单,溢流含铜浓度,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
237,0.0,,,结束,2024-04-02 00:00:00,财务管理部,63e0581be4b02e6e0f71ab66,第三次,2024-04-02,58417862c1d0470b813ae84d199c90f9,11＃浓密机,谭进,,溢流含铜浓度(11),,夜班,化验室填报表单,溢流含铜浓度,2024-05-29 11:50:19,6644541eeb3f0300019793a2,g/L
