,明细_所属分类,填表人,图片,流水号,文件,审批状态,数据日期,明细_项目,oid,取数日期,TemplateCodeId,明细_数量,明细_所属项目,明细_备注,完成时间,班次,标题,申请日期,TemplateId,明细_计量单位
14,直接材料,谭进,,KPKYT（DJCQ2）CJSCRBB-20240527-002,,结束,2024-04-01 00:00:00,7期硫酸亚铁消耗,63e0581be4b02e6e0f71ab66,2024-04-01,eaff4b821df645d4a1bbd0ce826be9fb,0.0,硫酸亚铁,,,夜班,凯鹏矿业铜（电解萃取2）车间生产日报表,2024-05-27 17:25:53,6654500626abb50001c5f993,KG
15,直接材料,谭进,,KPKYT（DJCQ2）CJSCRBB-20240527-002,,结束,2024-04-01 00:00:00,7期萃取剂消耗,63e0581be4b02e6e0f71ab66,2024-04-01,eaff4b821df645d4a1bbd0ce826be9fb,0.0,萃取剂,,,夜班,凯鹏矿业铜（电解萃取2）车间生产日报表,2024-05-27 17:25:53,6654500626abb50001c5f993,KG
16,直接材料,谭进,,KPKYT（DJCQ2）CJSCRBB-20240527-002,,结束,2024-04-01 00:00:00,7期酪蛋白消耗,63e0581be4b02e6e0f71ab66,2024-04-01,eaff4b821df645d4a1bbd0ce826be9fb,0.0,暂无分类,,,夜班,凯鹏矿业铜（电解萃取2）车间生产日报表,2024-05-27 17:25:53,6654500626abb50001c5f993,KG
17,直接材料,谭进,,KPKYT（DJCQ2）CJSCRBB-20240527-002,,结束,2024-04-01 00:00:00,7期煤油消耗,63e0581be4b02e6e0f71ab66,2024-04-01,eaff4b821df645d4a1bbd0ce826be9fb,0.0,煤油,,,夜班,凯鹏矿业铜（电解萃取2）车间生产日报表,2024-05-27 17:25:53,6654500626abb50001c5f993,升
18,直接材料,谭进,,KPKYT（DJCQ2）CJSCRBB-20240527-002,,结束,2024-04-01 00:00:00,五期电解铜生产入库,63e0581be4b02e6e0f71ab66,2024-04-01,eaff4b821df645d4a1bbd0ce826be9fb,0.0,产量,,,夜班,凯鹏矿业铜（电解萃取2）车间生产日报表,2024-05-27 17:25:53,6654500626abb50001c5f993,吨
19,直接材料,谭进,,KPKYT（DJCQ2）CJSCRBB-20240527-002,,结束,2024-04-01 00:00:00,四期电解铜生产入库,63e0581be4b02e6e0f71ab66,2024-04-01,eaff4b821df645d4a1bbd0ce826be9fb,0.0,产量,,,夜班,凯鹏矿业铜（电解萃取2）车间生产日报表,2024-05-27 17:25:53,6654500626abb50001c5f993,吨
20,直接材料,谭进,,KPKYT（DJCQ2）CJSCRBB-20240527-002,,结束,2024-04-01 00:00:00,五期电解铜生产入库,63e0581be4b02e6e0f71ab66,2024-04-01,eaff4b821df645d4a1bbd0ce826be9fb,0.0,暂无分类,,,夜班,凯鹏矿业铜（电解萃取2）车间生产日报表,2024-05-27 17:25:53,6654500626abb50001c5f993,槽
21,直接材料,谭进,,KPKYT（DJCQ2）CJSCRBB-20240527-002,,结束,2024-04-01 00:00:00,四期电解铜生产入库,63e0581be4b02e6e0f71ab66,2024-04-01,eaff4b821df645d4a1bbd0ce826be9fb,0.0,暂无分类,,,夜班,凯鹏矿业铜（电解萃取2）车间生产日报表,2024-05-27 17:25:53,6654500626abb50001c5f993,槽
22,直接材料,谭进,,KPKYT（DJCQ2）CJSCRBB-20240527-002,,结束,2024-04-01 00:00:00,7期硫酸消耗,63e0581be4b02e6e0f71ab66,2024-04-01,eaff4b821df645d4a1bbd0ce826be9fb,0.0,萃取硫酸,,,夜班,凯鹏矿业铜（电解萃取2）车间生产日报表,2024-05-27 17:25:53,6654500626abb50001c5f993,立方米
23,直接材料,谭进,,KPKYT（DJCQ2）CJSCRBB-20240527-002,,结束,2024-04-01 00:00:00,七期萃取萃取量,63e0581be4b02e6e0f71ab66,2024-04-01,eaff4b821df645d4a1bbd0ce826be9fb,12190.0,暂无分类,,,夜班,凯鹏矿业铜（电解萃取2）车间生产日报表,2024-05-27 17:25:53,6654500626abb50001c5f993,立方米
