,明细_所属分类,取数日期,数据日期,明细_数量,所属部门,明细_所属项目,班次,明细_项目,明细_计量单位
42,直接材料,2025-05-04,2025-05-04 06:00:00,1.983,动力设备分厂,钢球,夜班,1-2期半自磨钢球消耗,吨
43,直接材料,2025-05-04,2025-05-04 06:00:00,0.0,动力设备分厂,钢球,夜班,4、5号球磨钢球消耗,吨
44,直接材料,2025-05-05,2025-05-05 06:00:00,50.0,动力设备分厂,絮凝剂,夜班,,kg
45,直接材料,2025-05-05,2025-05-05 06:00:00,1245.0,动力设备分厂,半自磨矿石,夜班,1期半自磨磨矿湿重,吨
46,直接材料,2025-05-05,2025-05-05 06:00:00,2314.0,动力设备分厂,半自磨矿石,夜班,2期半自磨磨矿湿重,吨
47,直接材料,2025-05-05,2025-05-05 06:00:00,300.0,动力设备分厂,暂无分类,夜班,1-2期半自磨用水量,吨
48,直接材料,2025-05-05,2025-05-05 06:00:00,130.0,动力设备分厂,暂无分类,夜班,4、5号球磨用水量,吨
49,直接材料,2025-05-05,2025-05-05 06:00:00,640.0,动力设备分厂,球磨矿石,夜班,4号磨机磨矿湿重,吨
50,直接材料,2025-05-05,2025-05-05 06:00:00,648.0,动力设备分厂,球磨矿石,夜班,5号磨机磨矿湿重,吨
51,直接材料,2025-05-05,2025-05-05 06:00:00,0.0,动力设备分厂,衬板,夜班,1-2期半自磨衬板消耗,吨
52,直接材料,2025-05-05,2025-05-05 06:00:00,0.0,动力设备分厂,衬板,夜班,4、5号球磨衬板消耗,吨
53,直接材料,2025-05-05,2025-05-05 06:00:00,1.902,动力设备分厂,钢球,夜班,1-2期半自磨钢球消耗,吨
54,直接材料,2025-05-05,2025-05-05 06:00:00,0.17,动力设备分厂,钢球,夜班,4、5号球磨钢球消耗,吨
55,直接材料,2025-05-06,2025-05-06 06:00:00,50.0,动力设备分厂,絮凝剂,夜班,,kg
56,直接材料,2025-05-06,2025-05-06 06:00:00,1074.0,动力设备分厂,半自磨矿石,夜班,1期半自磨磨矿湿重,吨
57,直接材料,2025-05-06,2025-05-06 06:00:00,2086.0,动力设备分厂,半自磨矿石,夜班,2期半自磨磨矿湿重,吨
58,直接材料,2025-05-06,2025-05-06 06:00:00,270.0,动力设备分厂,暂无分类,夜班,1-2期半自磨用水量,吨
59,直接材料,2025-05-06,2025-05-06 06:00:00,160.0,动力设备分厂,暂无分类,夜班,4、5号球磨用水量,吨
60,直接材料,2025-05-06,2025-05-06 06:00:00,1047.0,动力设备分厂,球磨矿石,夜班,4号磨机磨矿湿重,吨
61,直接材料,2025-05-06,2025-05-06 06:00:00,824.0,动力设备分厂,球磨矿石,夜班,5号磨机磨矿湿重,吨
62,直接材料,2025-05-06,2025-05-06 06:00:00,0.0,动力设备分厂,衬板,夜班,1-2期半自磨衬板消耗,吨
63,直接材料,2025-05-06,2025-05-06 06:00:00,0.0,动力设备分厂,衬板,夜班,4、5号球磨衬板消耗,吨
64,直接材料,2025-05-06,2025-05-06 06:00:00,1.687,动力设备分厂,钢球,夜班,1-2期半自磨钢球消耗,吨
65,直接材料,2025-05-06,2025-05-06 06:00:00,0.387,动力设备分厂,钢球,夜班,4、5号球磨钢球消耗,吨
66,直接材料,2025-05-07,2025-05-07 06:00:00,25.0,动力设备分厂,絮凝剂,夜班,,kg
67,直接材料,2025-05-07,2025-05-07 06:00:00,0.0,动力设备分厂,半自磨矿石,夜班,1期半自磨磨矿湿重,吨
68,直接材料,2025-05-07,2025-05-07 06:00:00,2267.0,动力设备分厂,半自磨矿石,夜班,2期半自磨磨矿湿重,吨
69,直接材料,2025-05-07,2025-05-07 06:00:00,200.0,动力设备分厂,暂无分类,夜班,1-2期半自磨用水量,吨
70,直接材料,2025-05-07,2025-05-07 06:00:00,120.0,动力设备分厂,暂无分类,夜班,4、5号球磨用水量,吨
71,直接材料,2025-05-07,2025-05-07 06:00:00,694.0,动力设备分厂,球磨矿石,夜班,4号磨机磨矿湿重,吨
72,直接材料,2025-05-07,2025-05-07 06:00:00,669.0,动力设备分厂,球磨矿石,夜班,5号磨机磨矿湿重,吨
