,明细_所属分类,取数日期,数据日期,明细_数量,所属部门,明细_所属项目,班次,明细_项目,明细_计量单位
1703,直接材料,2025-07-03,2025-07-03 06:00:00,0.0,磨浮压滤工段,衬板,夜班,1-2期半自磨衬板消耗,吨
1704,直接材料,2025-07-03,2025-07-03 06:00:00,0.0,磨浮压滤工段,衬板,夜班,4、5号球磨衬板消耗,吨
1705,直接材料,2025-07-03,2025-07-03 06:00:00,2.035,磨浮压滤工段,钢球,夜班,1-2期半自磨钢球消耗,吨
1706,直接材料,2025-07-03,2025-07-03 06:00:00,0.55,磨浮压滤工段,钢球,夜班,4、5号球磨钢球消耗,吨
1707,直接材料,2025-07-04,2025-07-04 06:00:00,50.0,磨浮压滤工段,絮凝剂,夜班,,KG
1708,直接材料,2025-07-04,2025-07-04 06:00:00,1283.0,磨浮压滤工段,半自磨矿石,夜班,1期半自磨磨矿湿重,吨
1709,直接材料,2025-07-04,2025-07-04 06:00:00,2382.0,磨浮压滤工段,半自磨矿石,夜班,2期半自磨磨矿湿重,吨
1710,直接材料,2025-07-04,2025-07-04 06:00:00,320.0,磨浮压滤工段,暂无分类,夜班,1-2期半自磨用水量,吨
1711,直接材料,2025-07-04,2025-07-04 06:00:00,160.0,磨浮压滤工段,暂无分类,夜班,4、5号球磨用水量,吨
1712,直接材料,2025-07-04,2025-07-04 06:00:00,977.0,磨浮压滤工段,球磨矿石,夜班,4号磨机磨矿湿重,吨
1713,直接材料,2025-07-04,2025-07-04 06:00:00,1022.0,磨浮压滤工段,球磨矿石,夜班,5号磨机磨矿湿重,吨
1714,直接材料,2025-07-04,2025-07-04 06:00:00,0.0,磨浮压滤工段,衬板,夜班,1-2期半自磨衬板消耗,吨
1715,直接材料,2025-07-04,2025-07-04 06:00:00,0.0,磨浮压滤工段,衬板,夜班,4、5号球磨衬板消耗,吨
1716,直接材料,2025-07-04,2025-07-04 06:00:00,0.715,磨浮压滤工段,钢球,夜班,1-2期半自磨钢球消耗,吨
1717,直接材料,2025-07-04,2025-07-04 06:00:00,0.535,磨浮压滤工段,钢球,夜班,4、5号球磨钢球消耗,吨
1718,直接材料,2025-07-05,2025-07-05 06:00:00,50.0,磨浮压滤工段,絮凝剂,夜班,,KG
1719,直接材料,2025-07-05,2025-07-05 06:00:00,1340.0,磨浮压滤工段,半自磨矿石,夜班,1期半自磨磨矿湿重,吨
1720,直接材料,2025-07-05,2025-07-05 06:00:00,2347.0,磨浮压滤工段,半自磨矿石,夜班,2期半自磨磨矿湿重,吨
1721,直接材料,2025-07-05,2025-07-05 06:00:00,320.0,磨浮压滤工段,暂无分类,夜班,1-2期半自磨用水量,吨
1722,直接材料,2025-07-05,2025-07-05 06:00:00,140.0,磨浮压滤工段,暂无分类,夜班,4、5号球磨用水量,吨
1723,直接材料,2025-07-05,2025-07-05 06:00:00,737.0,磨浮压滤工段,球磨矿石,夜班,4号磨机磨矿湿重,吨
1724,直接材料,2025-07-05,2025-07-05 06:00:00,1056.0,磨浮压滤工段,球磨矿石,夜班,5号磨机磨矿湿重,吨
1725,直接材料,2025-07-05,2025-07-05 06:00:00,0.0,磨浮压滤工段,衬板,夜班,1-2期半自磨衬板消耗,吨
1726,直接材料,2025-07-05,2025-07-05 06:00:00,0.0,磨浮压滤工段,衬板,夜班,4、5号球磨衬板消耗,吨
1727,直接材料,2025-07-05,2025-07-05 06:00:00,2.025,磨浮压滤工段,钢球,夜班,1-2期半自磨钢球消耗,吨
1728,直接材料,2025-07-05,2025-07-05 06:00:00,0.548,磨浮压滤工段,钢球,夜班,4、5号球磨钢球消耗,吨
1729,直接材料,2025-07-06,2025-07-06 06:00:00,50.0,磨浮压滤工段,絮凝剂,夜班,,KG
1730,直接材料,2025-07-06,2025-07-06 06:00:00,1300.0,磨浮压滤工段,半自磨矿石,夜班,1期半自磨磨矿湿重,吨
1731,直接材料,2025-07-06,2025-07-06 06:00:00,2160.0,磨浮压滤工段,半自磨矿石,夜班,2期半自磨磨矿湿重,吨
1732,直接材料,2025-07-06,2025-07-06 06:00:00,300.0,磨浮压滤工段,暂无分类,夜班,1-2期半自磨用水量,吨
1733,直接材料,2025-07-06,2025-07-06 06:00:00,60.0,磨浮压滤工段,暂无分类,夜班,4、5号球磨用水量,吨
1734,直接材料,2025-07-06,2025-07-06 06:00:00,368.0,磨浮压滤工段,球磨矿石,夜班,4号磨机磨矿湿重,吨
1735,直接材料,2025-07-06,2025-07-06 06:00:00,494.0,磨浮压滤工段,球磨矿石,夜班,5号磨机磨矿湿重,吨
1736,直接材料,2025-07-06,2025-07-06 06:00:00,0.0,磨浮压滤工段,衬板,夜班,1-2期半自磨衬板消耗,吨
1737,直接材料,2025-07-06,2025-07-06 06:00:00,0.0,磨浮压滤工段,衬板,夜班,4、5号球磨衬板消耗,吨
1738,直接材料,2025-07-06,2025-07-06 06:00:00,1.788,磨浮压滤工段,钢球,夜班,1-2期半自磨钢球消耗,吨
1739,直接材料,2025-07-06,2025-07-06 06:00:00,0.158,磨浮压滤工段,钢球,夜班,4、5号球磨钢球消耗,吨
1740,直接材料,2025-07-07,2025-07-07 06:00:00,50.0,磨浮压滤工段,絮凝剂,夜班,,KG
1741,直接材料,2025-07-07,2025-07-07 06:00:00,1174.0,磨浮压滤工段,半自磨矿石,夜班,1期半自磨磨矿湿重,吨
1742,直接材料,2025-07-07,2025-07-07 06:00:00,2183.0,磨浮压滤工段,半自磨矿石,夜班,2期半自磨磨矿湿重,吨
1743,直接材料,2025-07-07,2025-07-07 06:00:00,290.0,磨浮压滤工段,暂无分类,夜班,1-2期半自磨用水量,吨
1744,直接材料,2025-07-07,2025-07-07 06:00:00,190.0,磨浮压滤工段,暂无分类,夜班,4、5号球磨用水量,吨
1745,直接材料,2025-07-07,2025-07-07 06:00:00,1223.0,磨浮压滤工段,球磨矿石,夜班,4号磨机磨矿湿重,吨
1746,直接材料,2025-07-07,2025-07-07 06:00:00,1108.0,磨浮压滤工段,球磨矿石,夜班,5号磨机磨矿湿重,吨
1747,直接材料,2025-07-07,2025-07-07 06:00:00,0.0,磨浮压滤工段,衬板,夜班,1-2期半自磨衬板消耗,吨
1748,直接材料,2025-07-07,2025-07-07 06:00:00,0.0,磨浮压滤工段,衬板,夜班,4、5号球磨衬板消耗,吨
1749,直接材料,2025-07-07,2025-07-07 06:00:00,2.019,磨浮压滤工段,钢球,夜班,1-2期半自磨钢球消耗,吨
1750,直接材料,2025-07-07,2025-07-07 06:00:00,0.547,磨浮压滤工段,钢球,夜班,4、5号球磨钢球消耗,吨
1751,直接材料,2025-07-08,2025-07-08 06:00:00,50.0,磨浮压滤工段,絮凝剂,夜班,,KG
1752,直接材料,2025-07-08,2025-07-08 06:00:00,1280.0,磨浮压滤工段,半自磨矿石,夜班,1期半自磨磨矿湿重,吨
1753,直接材料,2025-07-08,2025-07-08 06:00:00,2379.0,磨浮压滤工段,半自磨矿石,夜班,2期半自磨磨矿湿重,吨
1754,直接材料,2025-07-08,2025-07-08 06:00:00,320.0,磨浮压滤工段,暂无分类,夜班,1-2期半自磨用水量,吨
1755,直接材料,2025-07-08,2025-07-08 06:00:00,170.0,磨浮压滤工段,暂无分类,夜班,4、5号球磨用水量,吨
1756,直接材料,2025-07-08,2025-07-08 06:00:00,1157.0,磨浮压滤工段,球磨矿石,夜班,4号磨机磨矿湿重,吨
1757,直接材料,2025-07-08,2025-07-08 06:00:00,941.0,磨浮压滤工段,球磨矿石,夜班,5号磨机磨矿湿重,吨
1758,直接材料,2025-07-08,2025-07-08 06:00:00,0.0,磨浮压滤工段,衬板,夜班,1-2期半自磨衬板消耗,吨
1759,直接材料,2025-07-08,2025-07-08 06:00:00,0.0,磨浮压滤工段,衬板,夜班,4、5号球磨衬板消耗,吨
1760,直接材料,2025-07-08,2025-07-08 06:00:00,1.98,磨浮压滤工段,钢球,夜班,1-2期半自磨钢球消耗,吨
1761,直接材料,2025-07-08,2025-07-08 06:00:00,0.513,磨浮压滤工段,钢球,夜班,4、5号球磨钢球消耗,吨
1762,直接材料,2025-07-09,2025-07-09 06:00:00,50.0,磨浮压滤工段,絮凝剂,夜班,,KG
1763,直接材料,2025-07-09,2025-07-09 06:00:00,1260.0,磨浮压滤工段,半自磨矿石,夜班,1期半自磨磨矿湿重,吨
1764,直接材料,2025-07-09,2025-07-09 06:00:00,2040.0,磨浮压滤工段,半自磨矿石,夜班,2期半自磨磨矿湿重,吨
1765,直接材料,2025-07-09,2025-07-09 06:00:00,290.0,磨浮压滤工段,暂无分类,夜班,1-2期半自磨用水量,吨
1766,直接材料,2025-07-09,2025-07-09 06:00:00,130.0,磨浮压滤工段,暂无分类,夜班,4、5号球磨用水量,吨
1767,直接材料,2025-07-09,2025-07-09 06:00:00,775.0,磨浮压滤工段,球磨矿石,夜班,4号磨机磨矿湿重,吨
1768,直接材料,2025-07-09,2025-07-09 06:00:00,774.0,磨浮压滤工段,球磨矿石,夜班,5号磨机磨矿湿重,吨
1769,直接材料,2025-07-09,2025-07-09 06:00:00,0.0,磨浮压滤工段,衬板,夜班,1-2期半自磨衬板消耗,吨
1770,直接材料,2025-07-09,2025-07-09 06:00:00,0.0,磨浮压滤工段,衬板,夜班,4、5号球磨衬板消耗,吨
1771,直接材料,2025-07-09,2025-07-09 06:00:00,1.918,磨浮压滤工段,钢球,夜班,1-2期半自磨钢球消耗,吨
1772,直接材料,2025-07-09,2025-07-09 06:00:00,0.424,磨浮压滤工段,钢球,夜班,4、5号球磨钢球消耗,吨
1773,直接材料,2025-07-10,2025-07-10 06:00:00,50.0,磨浮压滤工段,絮凝剂,夜班,,KG
1774,直接材料,2025-07-10,2025-07-10 06:00:00,1280.0,磨浮压滤工段,半自磨矿石,夜班,1期半自磨磨矿湿重,吨
1775,直接材料,2025-07-10,2025-07-10 06:00:00,2138.0,磨浮压滤工段,半自磨矿石,夜班,2期半自磨磨矿湿重,吨
1776,直接材料,2025-07-10,2025-07-10 06:00:00,290.0,磨浮压滤工段,暂无分类,夜班,1-2期半自磨用水量,吨
1777,直接材料,2025-07-10,2025-07-10 06:00:00,125.0,磨浮压滤工段,暂无分类,夜班,4、5号球磨用水量,吨
1778,直接材料,2025-07-10,2025-07-10 06:00:00,788.0,磨浮压滤工段,球磨矿石,夜班,4号磨机磨矿湿重,吨
1779,直接材料,2025-07-10,2025-07-10 06:00:00,772.0,磨浮压滤工段,球磨矿石,夜班,5号磨机磨矿湿重,吨
1780,直接材料,2025-07-10,2025-07-10 06:00:00,0.0,磨浮压滤工段,衬板,夜班,1-2期半自磨衬板消耗,吨
1781,直接材料,2025-07-10,2025-07-10 06:00:00,0.0,磨浮压滤工段,衬板,夜班,4、5号球磨衬板消耗,吨
1782,直接材料,2025-07-10,2025-07-10 06:00:00,1.811,磨浮压滤工段,钢球,夜班,1-2期半自磨钢球消耗,吨
1783,直接材料,2025-07-10,2025-07-10 06:00:00,0.417,磨浮压滤工段,钢球,夜班,4、5号球磨钢球消耗,吨
1784,直接材料,2025-07-11,2025-07-11 06:00:00,50.0,磨浮压滤工段,絮凝剂,夜班,,KG
1785,直接材料,2025-07-11,2025-07-11 06:00:00,1280.0,磨浮压滤工段,半自磨矿石,夜班,1期半自磨磨矿湿重,吨
1786,直接材料,2025-07-11,2025-07-11 06:00:00,2407.0,磨浮压滤工段,半自磨矿石,夜班,2期半自磨磨矿湿重,吨
1787,直接材料,2025-07-11,2025-07-11 06:00:00,320.0,磨浮压滤工段,暂无分类,夜班,1-2期半自磨用水量,吨
1788,直接材料,2025-07-11,2025-07-11 06:00:00,130.0,磨浮压滤工段,暂无分类,夜班,4、5号球磨用水量,吨
1789,直接材料,2025-07-11,2025-07-11 06:00:00,789.0,磨浮压滤工段,球磨矿石,夜班,4号磨机磨矿湿重,吨
1790,直接材料,2025-07-11,2025-07-11 06:00:00,825.0,磨浮压滤工段,球磨矿石,夜班,5号磨机磨矿湿重,吨
1791,直接材料,2025-07-11,2025-07-11 06:00:00,0.0,磨浮压滤工段,衬板,夜班,1-2期半自磨衬板消耗,吨
1792,直接材料,2025-07-11,2025-07-11 06:00:00,0.0,磨浮压滤工段,衬板,夜班,4、5号球磨衬板消耗,吨
1793,直接材料,2025-07-11,2025-07-11 06:00:00,1.869,磨浮压滤工段,钢球,夜班,1-2期半自磨钢球消耗,吨
1794,直接材料,2025-07-11,2025-07-11 06:00:00,0.426,磨浮压滤工段,钢球,夜班,4、5号球磨钢球消耗,吨
1795,直接材料,2025-07-12,2025-07-12 06:00:00,50.0,磨浮压滤工段,絮凝剂,夜班,,KG
1796,直接材料,2025-07-12,2025-07-12 06:00:00,1300.0,磨浮压滤工段,半自磨矿石,夜班,1期半自磨磨矿湿重,吨
1797,直接材料,2025-07-12,2025-07-12 06:00:00,2665.0,磨浮压滤工段,半自磨矿石,夜班,2期半自磨磨矿湿重,吨
1798,直接材料,2025-07-12,2025-07-12 06:00:00,350.0,磨浮压滤工段,暂无分类,夜班,1-2期半自磨用水量,吨
1799,直接材料,2025-07-12,2025-07-12 06:00:00,140.0,磨浮压滤工段,暂无分类,夜班,4、5号球磨用水量,吨
1800,直接材料,2025-07-12,2025-07-12 06:00:00,843.0,磨浮压滤工段,球磨矿石,夜班,4号磨机磨矿湿重,吨
1801,直接材料,2025-07-12,2025-07-12 06:00:00,921.0,磨浮压滤工段,球磨矿石,夜班,5号磨机磨矿湿重,吨
1802,直接材料,2025-07-12,2025-07-12 06:00:00,0.0,磨浮压滤工段,衬板,夜班,1-2期半自磨衬板消耗,吨
1803,直接材料,2025-07-12,2025-07-12 06:00:00,0.0,磨浮压滤工段,衬板,夜班,4、5号球磨衬板消耗,吨
1804,直接材料,2025-07-12,2025-07-12 06:00:00,1.571,磨浮压滤工段,钢球,夜班,1-2期半自磨钢球消耗,吨
1805,直接材料,2025-07-12,2025-07-12 06:00:00,0.322,磨浮压滤工段,钢球,夜班,4、5号球磨钢球消耗,吨
1806,直接材料,2025-07-13,2025-07-13 06:00:00,50.0,磨浮压滤工段,絮凝剂,夜班,,KG
1807,直接材料,2025-07-13,2025-07-13 06:00:00,1380.0,磨浮压滤工段,半自磨矿石,夜班,1期半自磨磨矿湿重,吨
1808,直接材料,2025-07-13,2025-07-13 06:00:00,2530.0,磨浮压滤工段,半自磨矿石,夜班,2期半自磨磨矿湿重,吨
1809,直接材料,2025-07-13,2025-07-13 06:00:00,350.0,磨浮压滤工段,暂无分类,夜班,1-2期半自磨用水量,吨
1810,直接材料,2025-07-13,2025-07-13 06:00:00,110.0,磨浮压滤工段,暂无分类,夜班,4、5号球磨用水量,吨
1811,直接材料,2025-07-13,2025-07-13 06:00:00,575.0,磨浮压滤工段,球磨矿石,夜班,4号磨机磨矿湿重,吨
1812,直接材料,2025-07-13,2025-07-13 06:00:00,823.0,磨浮压滤工段,球磨矿石,夜班,5号磨机磨矿湿重,吨
1813,直接材料,2025-07-13,2025-07-13 06:00:00,0.0,磨浮压滤工段,衬板,夜班,1-2期半自磨衬板消耗,吨
1814,直接材料,2025-07-13,2025-07-13 06:00:00,0.0,磨浮压滤工段,衬板,夜班,4、5号球磨衬板消耗,吨
1815,直接材料,2025-07-13,2025-07-13 06:00:00,0.951,磨浮压滤工段,钢球,夜班,1-2期半自磨钢球消耗,吨
1816,直接材料,2025-07-13,2025-07-13 06:00:00,0.547,磨浮压滤工段,钢球,夜班,4、5号球磨钢球消耗,吨
1817,直接材料,2025-07-14,2025-07-14 06:00:00,50.0,磨浮压滤工段,絮凝剂,夜班,,KG
1818,直接材料,2025-07-14,2025-07-14 06:00:00,1380.0,磨浮压滤工段,半自磨矿石,夜班,1期半自磨磨矿湿重,吨
1819,直接材料,2025-07-14,2025-07-14 06:00:00,2562.0,磨浮压滤工段,半自磨矿石,夜班,2期半自磨磨矿湿重,吨
1820,直接材料,2025-07-14,2025-07-14 06:00:00,350.0,磨浮压滤工段,暂无分类,夜班,1-2期半自磨用水量,吨
1821,直接材料,2025-07-14,2025-07-14 06:00:00,140.0,磨浮压滤工段,暂无分类,夜班,4、5号球磨用水量,吨
1822,直接材料,2025-07-14,2025-07-14 06:00:00,810.0,磨浮压滤工段,球磨矿石,夜班,4号磨机磨矿湿重,吨
1823,直接材料,2025-07-14,2025-07-14 06:00:00,888.0,磨浮压滤工段,球磨矿石,夜班,5号磨机磨矿湿重,吨
1824,直接材料,2025-07-14,2025-07-14 06:00:00,0.0,磨浮压滤工段,衬板,夜班,1-2期半自磨衬板消耗,吨
1825,直接材料,2025-07-14,2025-07-14 06:00:00,0.0,磨浮压滤工段,衬板,夜班,4、5号球磨衬板消耗,吨
1826,直接材料,2025-07-14,2025-07-14 06:00:00,2.075,磨浮压滤工段,钢球,夜班,1-2期半自磨钢球消耗,吨
1827,直接材料,2025-07-14,2025-07-14 06:00:00,0.381,磨浮压滤工段,钢球,夜班,4、5号球磨钢球消耗,吨
1828,直接材料,2025-07-15,2025-07-15 06:00:00,50.0,磨浮压滤工段,絮凝剂,夜班,,KG
1829,直接材料,2025-07-15,2025-07-15 06:00:00,1650.0,磨浮压滤工段,半自磨矿石,夜班,1期半自磨磨矿湿重,吨
1830,直接材料,2025-07-15,2025-07-15 06:00:00,2706.0,磨浮压滤工段,半自磨矿石,夜班,2期半自磨磨矿湿重,吨
1831,直接材料,2025-07-15,2025-07-15 06:00:00,380.0,磨浮压滤工段,暂无分类,夜班,1-2期半自磨用水量,吨
1832,直接材料,2025-07-15,2025-07-15 06:00:00,150.0,磨浮压滤工段,暂无分类,夜班,4、5号球磨用水量,吨
1833,直接材料,2025-07-15,2025-07-15 06:00:00,860.0,磨浮压滤工段,球磨矿石,夜班,4号磨机磨矿湿重,吨
1834,直接材料,2025-07-15,2025-07-15 06:00:00,936.0,磨浮压滤工段,球磨矿石,夜班,5号磨机磨矿湿重,吨
1835,直接材料,2025-07-15,2025-07-15 06:00:00,0.0,磨浮压滤工段,衬板,夜班,1-2期半自磨衬板消耗,吨
1836,直接材料,2025-07-15,2025-07-15 06:00:00,0.0,磨浮压滤工段,衬板,夜班,4、5号球磨衬板消耗,吨
1837,直接材料,2025-07-15,2025-07-15 06:00:00,2.107,磨浮压滤工段,钢球,夜班,1-2期半自磨钢球消耗,吨
1838,直接材料,2025-07-15,2025-07-15 06:00:00,0.562,磨浮压滤工段,钢球,夜班,4、5号球磨钢球消耗,吨
1839,直接材料,2025-07-16,2025-07-16 06:00:00,50.0,磨浮压滤工段,絮凝剂,夜班,,KG
1840,直接材料,2025-07-16,2025-07-16 06:00:00,1310.0,磨浮压滤工段,半自磨矿石,夜班,1期半自磨磨矿湿重,吨
1841,直接材料,2025-07-16,2025-07-16 06:00:00,2550.0,磨浮压滤工段,半自磨矿石,夜班,2期半自磨磨矿湿重,吨
1842,直接材料,2025-07-16,2025-07-16 06:00:00,350.0,磨浮压滤工段,暂无分类,夜班,1-2期半自磨用水量,吨
1843,直接材料,2025-07-16,2025-07-16 06:00:00,150.0,磨浮压滤工段,暂无分类,夜班,4、5号球磨用水量,吨
1844,直接材料,2025-07-16,2025-07-16 06:00:00,900.0,磨浮压滤工段,球磨矿石,夜班,4号磨机磨矿湿重,吨
1845,直接材料,2025-07-16,2025-07-16 06:00:00,977.0,磨浮压滤工段,球磨矿石,夜班,5号磨机磨矿湿重,吨
1846,直接材料,2025-07-16,2025-07-16 06:00:00,0.0,磨浮压滤工段,衬板,夜班,1-2期半自磨衬板消耗,吨
1847,直接材料,2025-07-16,2025-07-16 06:00:00,0.0,磨浮压滤工段,衬板,夜班,4、5号球磨衬板消耗,吨
1848,直接材料,2025-07-16,2025-07-16 06:00:00,1.963,磨浮压滤工段,钢球,夜班,1-2期半自磨钢球消耗,吨
1849,直接材料,2025-07-16,2025-07-16 06:00:00,0.656,磨浮压滤工段,钢球,夜班,4、5号球磨钢球消耗,吨
1850,直接材料,2025-07-17,2025-07-17 06:00:00,50.0,磨浮压滤工段,絮凝剂,夜班,,KG
1851,直接材料,2025-07-17,2025-07-17 06:00:00,1238.0,磨浮压滤工段,半自磨矿石,夜班,1期半自磨磨矿湿重,吨
1852,直接材料,2025-07-17,2025-07-17 06:00:00,2301.0,磨浮压滤工段,半自磨矿石,夜班,2期半自磨磨矿湿重,吨
1853,直接材料,2025-07-17,2025-07-17 06:00:00,310.0,磨浮压滤工段,暂无分类,夜班,1-2期半自磨用水量,吨
1854,直接材料,2025-07-17,2025-07-17 06:00:00,100.0,磨浮压滤工段,暂无分类,夜班,4、5号球磨用水量,吨
1855,直接材料,2025-07-17,2025-07-17 06:00:00,555.0,磨浮压滤工段,球磨矿石,夜班,4号磨机磨矿湿重,吨
1856,直接材料,2025-07-17,2025-07-17 06:00:00,742.0,磨浮压滤工段,球磨矿石,夜班,5号磨机磨矿湿重,吨
1857,直接材料,2025-07-17,2025-07-17 06:00:00,0.0,磨浮压滤工段,衬板,夜班,1-2期半自磨衬板消耗,吨
1858,直接材料,2025-07-17,2025-07-17 06:00:00,0.0,磨浮压滤工段,衬板,夜班,4、5号球磨衬板消耗,吨
1859,直接材料,2025-07-17,2025-07-17 06:00:00,1.608,磨浮压滤工段,钢球,夜班,1-2期半自磨钢球消耗,吨
1860,直接材料,2025-07-17,2025-07-17 06:00:00,0.419,磨浮压滤工段,钢球,夜班,4、5号球磨钢球消耗,吨
1861,直接材料,2025-07-18,2025-07-18 06:00:00,50.0,磨浮压滤工段,絮凝剂,夜班,,KG
1862,直接材料,2025-07-18,2025-07-18 06:00:00,1199.0,磨浮压滤工段,半自磨矿石,夜班,1期半自磨磨矿湿重,吨
1863,直接材料,2025-07-18,2025-07-18 06:00:00,2227.0,磨浮压滤工段,半自磨矿石,夜班,2期半自磨磨矿湿重,吨
1864,直接材料,2025-07-18,2025-07-18 06:00:00,300.0,磨浮压滤工段,暂无分类,夜班,1-2期半自磨用水量,吨
1865,直接材料,2025-07-18,2025-07-18 06:00:00,140.0,磨浮压滤工段,暂无分类,夜班,4、5号球磨用水量,吨
1866,直接材料,2025-07-18,2025-07-18 06:00:00,704.0,磨浮压滤工段,球磨矿石,夜班,4号磨机磨矿湿重,吨
1867,直接材料,2025-07-18,2025-07-18 06:00:00,1066.0,磨浮压滤工段,球磨矿石,夜班,5号磨机磨矿湿重,吨
1868,直接材料,2025-07-18,2025-07-18 06:00:00,0.0,磨浮压滤工段,衬板,夜班,1-2期半自磨衬板消耗,吨
1869,直接材料,2025-07-18,2025-07-18 06:00:00,0.0,磨浮压滤工段,衬板,夜班,4、5号球磨衬板消耗,吨
1870,直接材料,2025-07-18,2025-07-18 06:00:00,1.707,磨浮压滤工段,钢球,夜班,1-2期半自磨钢球消耗,吨
1871,直接材料,2025-07-18,2025-07-18 06:00:00,0.255,磨浮压滤工段,钢球,夜班,4、5号球磨钢球消耗,吨
1872,直接材料,2025-07-19,2025-07-19 06:00:00,50.0,磨浮压滤工段,絮凝剂,夜班,,KG
1873,直接材料,2025-07-19,2025-07-19 06:00:00,1530.0,磨浮压滤工段,半自磨矿石,夜班,1期半自磨磨矿湿重,吨
1874,直接材料,2025-07-19,2025-07-19 06:00:00,2841.0,磨浮压滤工段,半自磨矿石,夜班,2期半自磨磨矿湿重,吨
1875,直接材料,2025-07-19,2025-07-19 06:00:00,390.0,磨浮压滤工段,暂无分类,夜班,1-2期半自磨用水量,吨
1876,直接材料,2025-07-19,2025-07-19 06:00:00,150.0,磨浮压滤工段,暂无分类,夜班,4、5号球磨用水量,吨
1877,直接材料,2025-07-19,2025-07-19 06:00:00,901.0,磨浮压滤工段,球磨矿石,夜班,4号磨机磨矿湿重,吨
1878,直接材料,2025-07-19,2025-07-19 06:00:00,905.0,磨浮压滤工段,球磨矿石,夜班,5号磨机磨矿湿重,吨
1879,直接材料,2025-07-19,2025-07-19 06:00:00,0.0,磨浮压滤工段,衬板,夜班,1-2期半自磨衬板消耗,吨
1880,直接材料,2025-07-19,2025-07-19 06:00:00,0.0,磨浮压滤工段,衬板,夜班,4、5号球磨衬板消耗,吨
1881,直接材料,2025-07-19,2025-07-19 06:00:00,2.056,磨浮压滤工段,钢球,夜班,1-2期半自磨钢球消耗,吨
1882,直接材料,2025-07-19,2025-07-19 06:00:00,0.511,磨浮压滤工段,钢球,夜班,4、5号球磨钢球消耗,吨
1883,直接材料,2025-07-20,2025-07-20 06:00:00,50.0,磨浮压滤工段,絮凝剂,夜班,,KG
1884,直接材料,2025-07-20,2025-07-20 06:00:00,1350.0,磨浮压滤工段,半自磨矿石,夜班,1期半自磨磨矿湿重,吨
1885,直接材料,2025-07-20,2025-07-20 06:00:00,2287.0,磨浮压滤工段,半自磨矿石,夜班,2期半自磨磨矿湿重,吨
1886,直接材料,2025-07-20,2025-07-20 06:00:00,330.0,磨浮压滤工段,暂无分类,夜班,1-2期半自磨用水量,吨
1887,直接材料,2025-07-20,2025-07-20 06:00:00,110.0,磨浮压滤工段,暂无分类,夜班,4、5号球磨用水量,吨
1888,直接材料,2025-07-20,2025-07-20 06:00:00,634.0,磨浮压滤工段,球磨矿石,夜班,4号磨机磨矿湿重,吨
1889,直接材料,2025-07-20,2025-07-20 06:00:00,817.0,磨浮压滤工段,球磨矿石,夜班,5号磨机磨矿湿重,吨
1890,直接材料,2025-07-20,2025-07-20 06:00:00,0.0,磨浮压滤工段,衬板,夜班,1-2期半自磨衬板消耗,吨
1891,直接材料,2025-07-20,2025-07-20 06:00:00,0.0,磨浮压滤工段,衬板,夜班,4、5号球磨衬板消耗,吨
1892,直接材料,2025-07-20,2025-07-20 06:00:00,1.872,磨浮压滤工段,钢球,夜班,1-2期半自磨钢球消耗,吨
1893,直接材料,2025-07-20,2025-07-20 06:00:00,0.485,磨浮压滤工段,钢球,夜班,4、5号球磨钢球消耗,吨
1894,直接材料,2025-07-21,2025-07-21 06:00:00,50.0,磨浮压滤工段,絮凝剂,夜班,,KG
1895,直接材料,2025-07-21,2025-07-21 06:00:00,1280.0,磨浮压滤工段,半自磨矿石,夜班,1期半自磨磨矿湿重,吨
1896,直接材料,2025-07-21,2025-07-21 06:00:00,2580.0,磨浮压滤工段,半自磨矿石,夜班,2期半自磨磨矿湿重,吨
1897,直接材料,2025-07-21,2025-07-21 06:00:00,340.0,磨浮压滤工段,暂无分类,夜班,1-2期半自磨用水量,吨
1898,直接材料,2025-07-21,2025-07-21 06:00:00,150.0,磨浮压滤工段,暂无分类,夜班,4、5号球磨用水量,吨
1899,直接材料,2025-07-21,2025-07-21 06:00:00,875.0,磨浮压滤工段,球磨矿石,夜班,4号磨机磨矿湿重,吨
1900,直接材料,2025-07-21,2025-07-21 06:00:00,899.0,磨浮压滤工段,球磨矿石,夜班,5号磨机磨矿湿重,吨
1901,直接材料,2025-07-21,2025-07-21 06:00:00,0.0,磨浮压滤工段,衬板,夜班,1-2期半自磨衬板消耗,吨
1902,直接材料,2025-07-21,2025-07-21 06:00:00,0.0,磨浮压滤工段,衬板,夜班,4、5号球磨衬板消耗,吨
1903,直接材料,2025-07-21,2025-07-21 06:00:00,1.916,磨浮压滤工段,钢球,夜班,1-2期半自磨钢球消耗,吨
1904,直接材料,2025-07-21,2025-07-21 06:00:00,0.494,磨浮压滤工段,钢球,夜班,4、5号球磨钢球消耗,吨
1905,直接材料,2025-07-22,2025-07-22 06:00:00,50.0,磨浮压滤工段,絮凝剂,夜班,,KG
1906,直接材料,2025-07-22,2025-07-22 06:00:00,1250.0,磨浮压滤工段,半自磨矿石,夜班,1期半自磨磨矿湿重,吨
1907,直接材料,2025-07-22,2025-07-22 06:00:00,2394.0,磨浮压滤工段,半自磨矿石,夜班,2期半自磨磨矿湿重,吨
1908,直接材料,2025-07-22,2025-07-22 06:00:00,320.0,磨浮压滤工段,暂无分类,夜班,1-2期半自磨用水量,吨
