,明细_所属分类,填表人,流水号,图片,文件,审批状态,数据日期,所属部门,明细_项目,oid,取数日期,TemplateCodeId,明细_数量,明细_所属项目,明细_备注,完成时间,班次,标题,申请日期,TemplateId,明细_计量单位
24,直接材料,谭进,KPKYTLSCJ（1）SCRBB-20240527-003,,,结束,2024-04-02 00:00:00,财务管理部,外购硫酸数量,63e0581be4b02e6e0f71ab66,2024-04-02,38c28f7b4c8c4af191a6c5f70c13473b,0.0,暂无分类,,,白班,凯鹏矿业铜硫酸车间（1）生产日报表,2024-05-27 17:39:57,6654506926abb50001c5fa6c,吨
25,直接材料,谭进,KPKYTLSCJ（1）SCRBB-20240527-003,,,结束,2024-04-02 00:00:00,财务管理部,硫磺入库,63e0581be4b02e6e0f71ab66,2024-04-02,38c28f7b4c8c4af191a6c5f70c13473b,0.0,暂无分类,,,白班,凯鹏矿业铜硫酸车间（1）生产日报表,2024-05-27 17:39:57,6654506926abb50001c5fa6c,吨
26,直接材料,谭进,KPKYTLSCJ（1）SCRBB-20240527-003,,,结束,2024-04-02 00:00:00,财务管理部,硫磺消耗,63e0581be4b02e6e0f71ab66,2024-04-02,38c28f7b4c8c4af191a6c5f70c13473b,0.0,暂无分类,,,白班,凯鹏矿业铜硫酸车间（1）生产日报表,2024-05-27 17:39:57,6654506926abb50001c5fa6c,吨
27,直接材料,谭进,KPKYTLSCJ（1）SCRBB-20240527-003,,,结束,2024-04-02 00:00:00,财务管理部,打入其他硫酸数量,63e0581be4b02e6e0f71ab66,2024-04-02,38c28f7b4c8c4af191a6c5f70c13473b,5.0,暂无分类,,,白班,凯鹏矿业铜硫酸车间（1）生产日报表,2024-05-27 17:39:57,6654506926abb50001c5fa6c,立方米
28,直接材料,谭进,KPKYTLSCJ（1）SCRBB-20240527-003,,,结束,2024-04-02 00:00:00,财务管理部,打入半自磨硫酸数量,63e0581be4b02e6e0f71ab66,2024-04-02,38c28f7b4c8c4af191a6c5f70c13473b,54.0,半自磨硫酸,,,白班,凯鹏矿业铜硫酸车间（1）生产日报表,2024-05-27 17:39:57,6654506926abb50001c5fa6c,立方米
29,直接材料,谭进,KPKYTLSCJ（1）SCRBB-20240527-003,,,结束,2024-04-02 00:00:00,财务管理部,打入浓密硫酸数量,63e0581be4b02e6e0f71ab66,2024-04-02,38c28f7b4c8c4af191a6c5f70c13473b,30.0,暂无分类,,,白班,凯鹏矿业铜硫酸车间（1）生产日报表,2024-05-27 17:39:57,6654506926abb50001c5fa6c,立方米
30,直接材料,谭进,KPKYTLSCJ（1）SCRBB-20240527-003,,,结束,2024-04-02 00:00:00,财务管理部,硫酸生产出酸产量,63e0581be4b02e6e0f71ab66,2024-04-02,38c28f7b4c8c4af191a6c5f70c13473b,89.0,暂无分类,,,白班,凯鹏矿业铜硫酸车间（1）生产日报表,2024-05-27 17:39:57,6654506926abb50001c5fa6c,立方米
31,直接材料,谭进,KPKYTLSCJ（1）SCRBB-20240527-003,,,结束,2024-04-02 00:00:00,财务管理部,硫磺入库,63e0581be4b02e6e0f71ab66,2024-04-02,38c28f7b4c8c4af191a6c5f70c13473b,0.0,暂无分类,,,白班,凯鹏矿业铜硫酸车间（1）生产日报表,2024-05-27 17:39:57,6654506926abb50001c5fa6c,袋
32,直接材料,谭进,KPKYTLSCJ（1）SCRBB-20240527-003,,,结束,2024-04-02 00:00:00,财务管理部,硫磺消耗,63e0581be4b02e6e0f71ab66,2024-04-02,38c28f7b4c8c4af191a6c5f70c13473b,0.0,暂无分类,,,白班,凯鹏矿业铜硫酸车间（1）生产日报表,2024-05-27 17:39:57,6654506926abb50001c5fa6c,袋
33,直接材料,李林,KPKYTLSCJ（1）SCRBB-20240529-001,,,结束,2024-05-08 00:00:00,财务,碳酸钠（纯碱）消耗,5ddf43e8e4b09c41c06da2b5,2024-05-08,38c28f7b4c8c4af191a6c5f70c13473b,0.0,暂无分类,,,白班,凯鹏矿业铜硫酸车间（1）生产日报表,2024-05-29 23:17:22,6654506926abb50001c5fa6c,KG
34,直接材料,李林,KPKYTLSCJ（1）SCRBB-20240529-001,,,结束,2024-05-08 00:00:00,财务,阻垢剂消耗,5ddf43e8e4b09c41c06da2b5,2024-05-08,38c28f7b4c8c4af191a6c5f70c13473b,0.0,暂无分类,,,白班,凯鹏矿业铜硫酸车间（1）生产日报表,2024-05-29 23:17:22,6654506926abb50001c5fa6c,KG
35,直接材料,李林,KPKYTLSCJ（1）SCRBB-20240529-001,,,结束,2024-05-08 00:00:00,财务,外购硫酸数量,5ddf43e8e4b09c41c06da2b5,2024-05-08,38c28f7b4c8c4af191a6c5f70c13473b,83.0,暂无分类,,,白班,凯鹏矿业铜硫酸车间（1）生产日报表,2024-05-29 23:17:22,6654506926abb50001c5fa6c,吨
36,直接材料,李林,KPKYTLSCJ（1）SCRBB-20240529-001,,,结束,2024-05-08 00:00:00,财务,硫磺入库,5ddf43e8e4b09c41c06da2b5,2024-05-08,38c28f7b4c8c4af191a6c5f70c13473b,50.0,暂无分类,,,白班,凯鹏矿业铜硫酸车间（1）生产日报表,2024-05-29 23:17:22,6654506926abb50001c5fa6c,吨
37,直接材料,李林,KPKYTLSCJ（1）SCRBB-20240529-001,,,结束,2024-05-08 00:00:00,财务,硫磺消耗,5ddf43e8e4b09c41c06da2b5,2024-05-08,38c28f7b4c8c4af191a6c5f70c13473b,70.0,暂无分类,,,白班,凯鹏矿业铜硫酸车间（1）生产日报表,2024-05-29 23:17:22,6654506926abb50001c5fa6c,吨
38,直接材料,李林,KPKYTLSCJ（1）SCRBB-20240529-001,,,结束,2024-05-08 00:00:00,财务,打入其他硫酸数量,5ddf43e8e4b09c41c06da2b5,2024-05-08,38c28f7b4c8c4af191a6c5f70c13473b,0.0,暂无分类,,,白班,凯鹏矿业铜硫酸车间（1）生产日报表,2024-05-29 23:17:22,6654506926abb50001c5fa6c,立方米
39,直接材料,李林,KPKYTLSCJ（1）SCRBB-20240529-001,,,结束,2024-05-08 00:00:00,财务,打入半自磨硫酸数量,5ddf43e8e4b09c41c06da2b5,2024-05-08,38c28f7b4c8c4af191a6c5f70c13473b,30.0,半自磨硫酸,,,白班,凯鹏矿业铜硫酸车间（1）生产日报表,2024-05-29 23:17:22,6654506926abb50001c5fa6c,立方米
40,直接材料,李林,KPKYTLSCJ（1）SCRBB-20240529-001,,,结束,2024-05-08 00:00:00,财务,打入浓密硫酸数量,5ddf43e8e4b09c41c06da2b5,2024-05-08,38c28f7b4c8c4af191a6c5f70c13473b,120.0,暂无分类,,,白班,凯鹏矿业铜硫酸车间（1）生产日报表,2024-05-29 23:17:22,6654506926abb50001c5fa6c,立方米
41,直接材料,李林,KPKYTLSCJ（1）SCRBB-20240529-001,,,结束,2024-05-08 00:00:00,财务,硫酸生产出酸产量,5ddf43e8e4b09c41c06da2b5,2024-05-08,38c28f7b4c8c4af191a6c5f70c13473b,200.0,暂无分类,,,白班,凯鹏矿业铜硫酸车间（1）生产日报表,2024-05-29 23:17:22,6654506926abb50001c5fa6c,立方米
42,直接材料,李林,KPKYTLSCJ（1）SCRBB-20240529-001,,,结束,2024-05-08 00:00:00,财务,硫磺入库,5ddf43e8e4b09c41c06da2b5,2024-05-08,38c28f7b4c8c4af191a6c5f70c13473b,50.0,暂无分类,,,白班,凯鹏矿业铜硫酸车间（1）生产日报表,2024-05-29 23:17:22,6654506926abb50001c5fa6c,袋
43,直接材料,李林,KPKYTLSCJ（1）SCRBB-20240529-001,,,结束,2024-05-08 00:00:00,财务,硫磺消耗,5ddf43e8e4b09c41c06da2b5,2024-05-08,38c28f7b4c8c4af191a6c5f70c13473b,67.0,暂无分类,,,白班,凯鹏矿业铜硫酸车间（1）生产日报表,2024-05-29 23:17:22,6654506926abb50001c5fa6c,袋
