,格式日期,白班折干量45,夜班折干量45,白班金属铜45,夜班金属铜45,白班含铜量45,夜班含铜量45,白班折干量12,夜班折干量12,白班金属铜12,夜班金属铜12,白班含铜量12,夜班含铜量12,白班氧化铜折铜3,夜班折干3,白班氧化铜3,夜班氧化铜折铜3,夜班氧化铜3,白班折干3,白班折干,白班金属铜,白班平均氧化铜,夜班折干,夜班金属铜,夜班平均氧化铜,当天折干,当天金属铜,当天平均氧化铜
670,2025-11-01,2010.4656,1640.2824,33.37372896,37.7264952,0.0166,0.023,3227.84,4326.338,50.99987200000001,76.5761826,0.0158,0.0177,95.92599520000002,6111.907200000001,0.017,91.06741728000002,0.014900000000000002,5642.7056,10881.0112,180.29959616000002,0.016570114012932916,12078.527600000001,205.37009508,0.01700290812598714,22959.538800000002,385.66969124,0.016797797839040216
671,2025-11-02,0.0,2103.9099,0.0,34.924904340000005,0.0,0.0166,2393.1468,3460.9672,39.00829284,47.76134736,0.016300000000000002,0.0138,95.85775078,5616.0886,0.0166,89.29580874000001,0.0159,5774.5633,8167.7101,134.86604362,0.01651209971568408,11180.9657,171.98206044000003,0.015381682142178471,19348.6758,306.84810406,0.015858868443079707
672,2025-11-03,388.0,261.0,0.0,0.0,0.0,0.0,3007.7589000000003,3172.9880000000003,50.53034952,52.354302,0.0168,0.016499999999999997,61.16391144000001,4735.3392,0.017800000000000003,74.34482544000002,0.015700000000000002,3436.1748,6831.9337,111.69426096000001,0.01634885024718551,8169.327200000001,126.69912744000001,0.01550912631336397,15001.260900000001,238.39338840000002,0.015891556715742473
673,2025-11-04,1939.6923,1990.9044,35.88430755,32.8499226,0.018500000000000003,0.0165,2370.771,2210.5116000000003,36.7469505,27.631395000000005,0.015499999999999998,0.0125,101.7704772,5985.4212,0.017400000000000002,118.51133975999998,0.019799999999999998,5848.878,10159.3413,174.40173525,0.01716663808213629,10186.8372,178.99265735999998,0.017570974567061894,20346.1785,353.39439260999995,0.017369079535500976
674,2025-11-05,1765.764,2065.14,29.6648352,35.313894,0.0168,0.0171,3587.3586,3580.1528000000003,57.3977376,61.22061288,0.016,0.017099999999999997,109.8932338,6010.8957,0.018500000000000003,117.21246615,0.0195,5940.1748,11293.2974,196.95580660000002,0.017440061978709603,11656.1885,213.74697303,0.01833763867408287,22949.4859,410.70277963,0.01789594683818168
675,2025-11-06,2075.4894,1969.135,39.4342986,47.25924,0.019,0.024,3034.7691,3761.1641,47.94935178000001,64.31590611,0.0158,0.0171,99.76412061,6104.187,0.0171,100.10866679999998,0.016399999999999998,5834.1591,10944.4176,187.14777099000003,0.017099838276456118,11834.4861,211.68381290999997,0.017887030422892632,22778.903700000003,398.8315839,0.017508813819692295
676,2025-11-07,2028.0126,2024.7678,39.34344444,42.92507736,0.0194,0.0212,1502.391,3493.9620000000004,25.2401688,55.204599600000016,0.0168,0.0158,107.056355,5791.0908,0.0185,105.39785256,0.0182,5786.83,9317.2336,171.63996824,0.01842177363031877,11309.820600000001,203.52752952000003,0.017995646148445538,20627.0542,375.16749776000006,0.018188127791897695
677,2025-11-08,1658.9391,1805.247,35.33540283,34.4802177,0.0213,0.0191,2942.335,3316.6575,52.0793295,50.74485975,0.0177,0.015300000000000001,96.54013296,5847.5216,0.017699999999999997,102.91638016,0.0176,5454.2448,10055.518900000001,183.95486529,0.01829392069364018,10969.4261,188.14145761,0.017151440366602225,21024.945,372.0963229,0.017697850001510113
678,2025-11-09,1800.7704,2076.5218,31.33340496,34.47026188,0.0174,0.0166,3032.1642,2618.5868,51.5467914,37.18393256,0.016999999999999998,0.0142,105.091128,6003.9228,0.017099999999999997,92.46041112,0.0154,6145.68,10978.6146,187.97132435999998,0.017121588762210486,10699.0314,164.11460556,0.015339202159926365,21677.646,352.08592992,0.01624188945238796
679,2025-11-10,1865.3138,2002.617,37.11974462,39.2512932,0.0199,0.0196,2983.7984,2922.0048,61.466247040000006,55.22589072,0.0206,0.0189,113.8083223,5977.828,0.019,109.9920352,0.0184,5989.9117,10839.0239,212.39431396,0.019595335882597324,10902.4498,204.46921912,0.01875442885506338,21741.473700000002,416.86353308,0.01917365578948772
680,2025-11-11,1065.3074,1939.8545,16.40573396,37.05122095,0.0154,0.019100000000000002,2253.4169,2896.3155,52.72995546,66.90488805,0.023399999999999997,0.0231,89.53463735999999,4868.3226,0.0158,87.62980680000001,0.018000000000000002,5666.749199999999,8985.4735,158.67032677999998,0.017658538170526015,9704.492600000001,191.5859158,0.019741981749772264,18689.9661,350.25624258,0.01874033589499127
681,2025-11-12,167.7524,1520.0496,2.39885932,27.81690768,0.014300000000000002,0.0183,2773.4136,3053.344,39.93715584,62.59355199999998,0.014400000000000001,0.020499999999999994,103.37690028000002,6186.125,0.0172,98.978,0.016,6010.284900000001,8951.4509,145.71291544000002,0.016278133798399097,10759.5186,189.38845967999998,0.01760194546993952,19710.9695,335.10137512,0.017000755600580682
682,2025-11-13,1022.404,669.4012,18.914474,10.844299440000002,0.0185,0.016200000000000003,2951.3498,3009.1545,45.45078692,41.22541665,0.0154,0.013699999999999999,64.65227504,5825.989,0.0172,102.5374064,0.0176,3758.8532,7732.607,129.01753596,0.01668486914697721,9504.544699999999,154.60712249,0.016266652151154595,17237.1517,283.62465844999997,0.01645426479886465
683,2025-11-14,1680.2800000000002,1411.7193,30.245040000000007,30.210793020000004,0.018000000000000002,0.021400000000000002,3109.0229,3346.878,59.38233739,63.2559942,0.019100000000000002,0.0189,104.87545888,5609.8046,0.0184,110.51315062,0.0197,5699.7532,10489.056100000002,194.50283627,0.01854340699636452,10368.4019,203.97993784000002,0.01967322831496337,20857.458000000002,398.48277411000004,0.019105049815274708
684,2025-11-15,0.0,1476.7585,0.0,25.6955979,0.0,0.0174,3244.4556,3146.1876,63.91577532,51.28285788,0.019700000000000002,0.0163,115.05911868,5059.929,0.021099999999999997,83.9948214,0.0166,5453.0388,8697.4944,178.974894,0.020577753289499102,9682.875100000001,160.97327718000003,0.016624533056302668,18380.3695,339.94817118000003,0.01849517612689995
685,2025-11-16,569.8439999999999,452.9368,14.5880064,9.14932336,0.0256,0.0202,3055.7736,3210.7446,51.03141912,55.86695604,0.0167,0.0174,0.0,2281.0092,0.0,46.98878952,0.0206,0.0,3625.6176,65.61942552000001,0.018098826947442005,5944.6906,112.00506892,0.01884119400932321,9570.3082,177.62449444,0.018559955513240422
686,2025-11-17,1428.2784,1758.0464000000002,32.27909184,42.89633216,0.022600000000000002,0.024399999999999998,3103.7076,3350.4372000000003,56.79784908,63.658306800000005,0.018299999999999997,0.019,0.0,0.0,0.0,0.0,0.0,0.0,4531.986,89.07694092,0.019655166834142913,5108.4836000000005,106.55463896,0.020858369587405546,9640.4696,195.63157988,0.020292743818205703
687,2025-11-18,1370.103,1620.4985,25.483915800000005,55.096949,0.018600000000000002,0.034,3113.627,3110.607,58.2248249,66.8780505,0.0187,0.021500000000000002,0.0,0.0,0.0,0.0,0.0,0.0,4483.73,83.7087407,0.018669442785359515,4731.1055,121.9749995,0.025781500645039517,9214.8355,205.6837402,0.022320934562532344
688,2025-11-19,1912.723,1763.2209,33.281380199999994,44.0805225,0.0174,0.025,2853.6854,2908.9414,55.07612822,48.87021552,0.0193,0.0168,0.0,0.0,0.0,0.0,0.0,0.0,4766.4084,88.35750841999999,0.01853754462584448,4672.1623,92.95073802,0.019894586714164445,9438.5707,181.30824644,0.01920929049564676
689,2025-11-20,2055.6099,1748.688,35.15092929,28.3287456,0.0171,0.0162,3124.0177,3094.1445000000003,61.85555045999999,62.811133350000006,0.019799999999999998,0.0203,0.0,0.0,0.0,0.0,0.0,0.0,5179.6276,97.00647974999998,0.018728466067714982,4842.8325,91.13987895000001,0.018819539794118424,10022.4601,188.1463587,0.01877247270857182
690,2025-11-21,1948.3254,1837.177,37.79751276,31.0482913,0.019399999999999997,0.016900000000000002,3037.4676,3301.6412,53.45942976,46.88330504,0.0176,0.0142,0.0,0.0,0.0,0.0,0.0,0.0,4985.793,91.25694252,0.018303395772748688,5138.8182,77.93159634,0.015165276004510142,10124.6112,169.18853886,0.016710620834506713
691,2025-11-22,1894.2186,1473.0135,35.61130967999999,26.07233895,0.018799999999999997,0.0177,2881.5762,3514.0072,66.56441022,56.57551592,0.0231,0.0161,93.12152304,0.0,0.0222,0.0,0.0,4194.6632,8970.457999999999,195.29724294,0.021771156270950717,4987.0207,82.64785487,0.01657259110033371,13957.4787,277.94509781,0.019913703884785437
692,2025-11-23,1523.0198,1637.4743999999998,24.063712840000004,26.69083272,0.0158,0.016300000000000002,3557.6472000000003,2948.6736,55.85506104000001,44.52497136,0.015700000000000002,0.0151,91.71845120000002,5593.65,0.016,95.651415,0.0171,5732.403200000001,10813.070200000002,171.63722508000004,0.015873125939753912,10179.797999999999,166.86721907999998,0.016391997078920428,20992.8682,338.50444416000005,0.016124735359411252
693,2025-11-24,1871.36,1824.8094,31.251712,34.6713786,0.016700000000000003,0.018999999999999996,1903.3224,3203.4404,31.78548408,58.94330336,0.0167,0.0184,92.24823762,5659.5805,0.0161,87.72349774999999,0.015499999999999998,5729.7042,9504.3866,155.2854337,0.016338290963458915,10687.8303,181.33817971,0.016966790697453344,20192.2169,336.62361340999996,0.016670958670714355
694,2025-11-25,1649.6064,1778.397,29.19803328,35.3901003,0.0177,0.0199,3115.931,2989.4592,62.31862,69.35545343999999,0.02,0.0232,115.1031168,5806.924,0.0196,105.1053244,0.0181,5872.608,10638.145400000001,206.61977008,0.019422536759085843,10574.780200000001,209.85087814,0.019844467135118324,21212.925600000002,416.47064822,0.019632871772293396
695,2025-11-26,1803.6168,1863.0532,33.72763416,35.398010799999994,0.0187,0.018999999999999996,2863.3816,3498.5484,54.69058856,66.12256476,0.0191,0.0189,95.59427328,5686.2992,0.017599999999999998,109.17694464,0.0192,5431.4928,10098.4912,184.012496,0.018221781091416905,11047.9008,210.69752019999999,0.019071271910768784,21146.392,394.7100162,0.018665596296521883
696,2025-11-27,2219.286,1964.0756,51.4874352,40.65636492,0.0232,0.020700000000000003,3337.8345000000004,3734.1794,63.752638950000005,72.06966241999999,0.0191,0.019299999999999998,92.75010048,4900.838400000001,0.019200000000000002,96.54651648,0.019699999999999995,4830.734399999999,10387.8549,207.99017463,0.020022437416795262,10599.093400000002,209.27254381999998,0.019744381516630466,20986.948300000004,417.26271844999997,0.01988201011816472
697,2025-11-28,1895.6916,1835.2576,43.98004512,30.281750400000004,0.0232,0.016500000000000004,3719.2648,3809.8,75.50107544,59.0519,0.0203,0.0155,88.48854951999999,3615.4938,0.016099999999999996,63.2711415,0.017499999999999998,5496.1832,11111.1396,207.96967008,0.01871722231624198,9260.5514,152.6047919,0.016479017858483026,20371.691,360.57446198,0.017699780640693993
698,2025-11-29,2049.72,1831.7568,37.509876,34.803379199999995,0.0183,0.018999999999999996,2849.904,4005.76,51.0132816,72.90483200000001,0.0179,0.0182,105.3775697,3773.6076,0.0173,75.09479124,0.0199,6091.189,10990.813,193.90072729999997,0.01764207318421303,9611.1244,182.80300244,0.01901993927370246,20601.937400000003,376.70372973999997,0.018284869157014327
699,2025-11-30,2057.0889,1272.0456,43.81599357,27.221775840000003,0.0213,0.021400000000000002,2706.201,3402.6354,53.0415396,66.69165384,0.0196,0.0196,117.68357963999998,5782.3187,0.019299999999999998,109.28582343,0.0189,6097.5948,10860.884699999999,214.54111281,0.019753557719842104,10456.9997,203.19925311,0.019431888585594966,21317.8844,417.74036592,0.019595770296981254
700,2025-12-01,1722.4398,2017.9995,32.89860018,43.9923891,0.0191,0.0218,2003.8488,3390.6467,41.27928528,67.13480466,0.0206,0.0198,123.5399148,5914.627799999999,0.0213,118.292556,0.020000000000000004,5799.996,9526.284599999999,197.71780026,0.02075497516208995,11323.273999999998,229.41974976,0.020260902435108436,20849.558599999997,427.13755002,0.020486647137939892
701,2025-12-02,259.7196,1666.9611,4.51912104,31.17217257,0.0174,0.0187,3105.3488,3690.3558,52.48039471999999,69.74772462,0.016899999999999995,0.0189,93.55863054,5963.2199,0.0159,100.77841631,0.0169,5884.1906,9249.259,150.55814629999998,0.016277860345353067,11320.5368,201.69831349999998,0.017817027325064655,20569.7958,352.25645979999996,0.01712493712747503
702,2025-12-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,
703,2025-12-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,
